Date,Flow,Site
2018-04-01,4000,Canyon Ferry Release
2018-04-02,4000,Canyon Ferry Release
2018-04-03,4000,Canyon Ferry Release
2018-04-04,4000,Canyon Ferry Release
2018-04-05,4000,Canyon Ferry Release
2018-04-06,4000,Canyon Ferry Release
2018-04-07,4000,Canyon Ferry Release
2018-04-08,4000,Canyon Ferry Release
2018-04-09,4000,Canyon Ferry Release
2018-04-10,4000,Canyon Ferry Release
2018-04-11,4000,Canyon Ferry Release
2018-04-12,4000,Canyon Ferry Release
2018-04-13,4000,Canyon Ferry Release
2018-04-14,4000,Canyon Ferry Release
2018-04-15,4000,Canyon Ferry Release
2018-04-16,4000,Canyon Ferry Release
2018-04-17,4000,Canyon Ferry Release
2018-04-18,4000,Canyon Ferry Release
2018-04-19,4000,Canyon Ferry Release
2018-04-20,4000,Canyon Ferry Release
2018-04-21,4000,Canyon Ferry Release
2018-04-22,4000,Canyon Ferry Release
2018-04-23,4000,Canyon Ferry Release
2018-04-24,4000,Canyon Ferry Release
2018-04-25,4000,Canyon Ferry Release
2018-04-26,4000,Canyon Ferry Release
2018-04-27,4000,Canyon Ferry Release
2018-04-28,4000,Canyon Ferry Release
2018-04-29,4000,Canyon Ferry Release
2018-04-30,4000,Canyon Ferry Release
2018-05-01,4000,Canyon Ferry Release
2018-05-02,4000,Canyon Ferry Release
2018-05-03,4000,Canyon Ferry Release
2018-05-04,4000,Canyon Ferry Release
2018-05-05,4000,Canyon Ferry Release
2018-05-06,4000,Canyon Ferry Release
2018-05-07,4000,Canyon Ferry Release
2018-05-08,4000,Canyon Ferry Release
2018-05-09,4000,Canyon Ferry Release
2018-05-10,4000,Canyon Ferry Release
2018-05-11,4000,Canyon Ferry Release
2018-05-12,4000,Canyon Ferry Release
2018-05-13,4000,Canyon Ferry Release
2018-05-14,4000,Canyon Ferry Release
2018-05-15,4500,Canyon Ferry Release
2018-05-16,5000,Canyon Ferry Release
2018-05-17,6000,Canyon Ferry Release
2018-05-18,7000,Canyon Ferry Release
2018-05-19,8000,Canyon Ferry Release
2018-05-20,8000,Canyon Ferry Release
2018-05-21,8000,Canyon Ferry Release
2018-05-22,7000,Canyon Ferry Release
2018-05-23,6500,Canyon Ferry Release
2018-05-24,5000,Canyon Ferry Release
2018-05-25,4000,Canyon Ferry Release
2018-05-26,4000,Canyon Ferry Release
