Date,Flow,Site
1956-05-01,6521.01,Canyon Ferry Release
1956-05-02,6521.01,Canyon Ferry Release
1956-05-03,6521.01,Canyon Ferry Release
1956-05-04,6521.01,Canyon Ferry Release
1956-05-05,6521.01,Canyon Ferry Release
1956-05-06,6521.01,Canyon Ferry Release
1956-05-07,6521.01,Canyon Ferry Release
1956-05-08,6521.01,Canyon Ferry Release
1956-05-09,6521.01,Canyon Ferry Release
1956-05-10,6521.01,Canyon Ferry Release
1956-05-11,6521.01,Canyon Ferry Release
1956-05-12,6521.01,Canyon Ferry Release
1956-05-13,6521.01,Canyon Ferry Release
1956-05-14,6521.01,Canyon Ferry Release
1956-05-15,6521.01,Canyon Ferry Release
1956-05-16,6521.01,Canyon Ferry Release
1956-05-17,6521.01,Canyon Ferry Release
1956-05-18,6521.01,Canyon Ferry Release
1956-05-19,6521.01,Canyon Ferry Release
1956-05-20,6521.01,Canyon Ferry Release
1956-05-21,6521.01,Canyon Ferry Release
1956-05-22,6521.01,Canyon Ferry Release
1956-05-23,6521.01,Canyon Ferry Release
1956-05-24,6521.01,Canyon Ferry Release
1956-05-25,6521.01,Canyon Ferry Release
1956-05-26,6521.01,Canyon Ferry Release
1956-05-27,6521.01,Canyon Ferry Release
1956-05-28,6521.01,Canyon Ferry Release
1956-05-29,6521.01,Canyon Ferry Release
1956-05-30,6521.01,Canyon Ferry Release
1956-05-31,6521.01,Canyon Ferry Release
1956-06-01,15000,Canyon Ferry Release
1956-06-02,15000,Canyon Ferry Release
1956-06-03,15000,Canyon Ferry Release
1956-06-04,15000,Canyon Ferry Release
1956-06-05,15000,Canyon Ferry Release
1956-06-06,15000,Canyon Ferry Release
1956-06-07,15000,Canyon Ferry Release
1956-06-08,15000,Canyon Ferry Release
1956-06-09,15000,Canyon Ferry Release
1956-06-10,15000,Canyon Ferry Release
1956-06-11,15000,Canyon Ferry Release
1956-06-12,15000,Canyon Ferry Release
1956-06-13,15000,Canyon Ferry Release
1956-06-14,15000,Canyon Ferry Release
1956-06-15,15000,Canyon Ferry Release
1956-06-16,15000,Canyon Ferry Release
1956-06-17,15000,Canyon Ferry Release
1956-06-18,15000,Canyon Ferry Release
1956-06-19,15000,Canyon Ferry Release
1956-06-20,15000,Canyon Ferry Release
1956-06-21,15000,Canyon Ferry Release
1956-06-22,15000,Canyon Ferry Release
1956-06-23,15000,Canyon Ferry Release
1956-06-24,15000,Canyon Ferry Release
1956-06-25,15000,Canyon Ferry Release
1956-06-26,15000,Canyon Ferry Release
1956-06-27,15000,Canyon Ferry Release
1956-06-28,15000,Canyon Ferry Release
1956-06-29,15000,Canyon Ferry Release
1956-06-30,15000,Canyon Ferry Release
1956-07-01,4100,Canyon Ferry Release
1956-07-02,4100,Canyon Ferry Release
1956-07-03,4100,Canyon Ferry Release
1956-07-04,4100,Canyon Ferry Release
1956-07-05,4206.06,Canyon Ferry Release
1956-07-06,4292.62,Canyon Ferry Release
1956-07-07,4381.23,Canyon Ferry Release
1956-07-08,4472.74,Canyon Ferry Release
1956-07-09,4561.15,Canyon Ferry Release
1956-07-10,4647.9,Canyon Ferry Release
1956-07-11,4738.6,Canyon Ferry Release
1956-07-12,4851.5,Canyon Ferry Release
1956-07-13,4961.96,Canyon Ferry Release
1956-07-14,5039.91,Canyon Ferry Release
1956-07-15,5106.18,Canyon Ferry Release
1956-07-16,5161.52,Canyon Ferry Release
1956-07-17,5208.41,Canyon Ferry Release
1956-07-18,5250,Canyon Ferry Release
1956-07-19,5287.98,Canyon Ferry Release
1956-07-20,5325.93,Canyon Ferry Release
1956-07-21,5362.6,Canyon Ferry Release
1956-07-22,5397.75,Canyon Ferry Release
1956-07-23,5437.24,Canyon Ferry Release
1956-07-24,5496.06,Canyon Ferry Release
1956-07-25,5497.87,Canyon Ferry Release
1956-07-26,5498.9,Canyon Ferry Release
1956-07-27,5499.64,Canyon Ferry Release
1956-07-28,5500.37,Canyon Ferry Release
1956-07-29,5501.32,Canyon Ferry Release
1956-07-30,5502.48,Canyon Ferry Release
1956-07-31,5503.45,Canyon Ferry Release
1956-05-01,1551.16,Tiber Release
1956-05-02,1551.16,Tiber Release
1956-05-03,1551.16,Tiber Release
1956-05-04,1551.16,Tiber Release
1956-05-05,1551.16,Tiber Release
1956-05-06,1551.16,Tiber Release
1956-05-07,1551.16,Tiber Release
1956-05-08,1551.16,Tiber Release
1956-05-09,1551.16,Tiber Release
1956-05-10,1551.16,Tiber Release
1956-05-11,1551.16,Tiber Release
1956-05-12,1551.16,Tiber Release
1956-05-13,1551.16,Tiber Release
1956-05-14,1551.16,Tiber Release
1956-05-15,1551.16,Tiber Release
1956-05-16,1901.55,Tiber Release
1956-05-17,1901.55,Tiber Release
1956-05-18,1901.55,Tiber Release
1956-05-19,1901.55,Tiber Release
1956-05-20,3000,Tiber Release
1956-05-21,3000,Tiber Release
1956-05-22,1901.55,Tiber Release
1956-05-23,1901.55,Tiber Release
1956-05-24,1901.55,Tiber Release
1956-05-25,1901.55,Tiber Release
1956-05-26,1901.55,Tiber Release
1956-05-27,1901.55,Tiber Release
1956-05-28,1901.55,Tiber Release
1956-05-29,1901.55,Tiber Release
1956-05-30,1901.55,Tiber Release
1956-05-31,1901.55,Tiber Release
1956-06-01,2251.94,Tiber Release
1956-06-02,2251.94,Tiber Release
1956-06-03,2251.94,Tiber Release
1956-06-04,2251.94,Tiber Release
1956-06-05,2251.94,Tiber Release
1956-06-06,2251.94,Tiber Release
1956-06-07,2251.94,Tiber Release
1956-06-08,3000,Tiber Release
1956-06-09,4500,Tiber Release
1956-06-10,4500,Tiber Release
1956-06-11,5000,Tiber Release
1956-06-12,5000,Tiber Release
1956-06-13,5000,Tiber Release
1956-06-14,5000,Tiber Release
1956-06-15,5000,Tiber Release
1956-06-16,5000,Tiber Release
1956-06-17,5000,Tiber Release
1956-06-18,5000,Tiber Release
1956-06-19,5000,Tiber Release
1956-06-20,5000,Tiber Release
1956-06-21,5000,Tiber Release
1956-06-22,5000,Tiber Release
1956-06-23,5000,Tiber Release
1956-06-24,5000,Tiber Release
1956-06-25,5000,Tiber Release
1956-06-26,5000,Tiber Release
1956-06-27,5000,Tiber Release
1956-06-28,4000,Tiber Release
1956-06-29,2602.32,Tiber Release
