Date,Value
1989-01-01,17.39
1989-01-02,17.39
1989-01-03,17.39
1989-01-04,17.39
1989-01-05,17.39
1989-01-06,17.39
1989-01-07,17.39
1989-01-08,17.39
1989-01-09,17.39
1989-01-10,17.39
1989-01-11,17.39
1989-01-12,17.39
1989-01-13,17.39
1989-01-14,17.39
1989-01-15,17.39
1989-01-16,17.39
1989-01-17,17.39
1989-01-18,17.39
1989-01-19,17.39
1989-01-20,17.39
1989-01-21,17.39
1989-01-22,17.39
1989-01-23,17.39
1989-01-24,17.39
1989-01-25,17.39
1989-01-26,17.39
1989-01-27,17.39
1989-01-28,17.39
1989-01-29,17.39
1989-01-30,17.39
1989-01-31,17.39
1989-02-01,18.38
1989-02-02,18.38
1989-02-03,18.38
1989-02-04,18.38
1989-02-05,18.38
1989-02-06,18.38
1989-02-07,18.38
1989-02-08,18.38
1989-02-09,18.38
1989-02-10,18.38
1989-02-11,18.38
1989-02-12,18.38
1989-02-13,18.38
1989-02-14,18.38
1989-02-15,18.38
1989-02-16,18.38
1989-02-17,18.38
1989-02-18,18.38
1989-02-19,18.38
1989-02-20,18.38
1989-02-21,18.38
1989-02-22,18.38
1989-02-23,18.38
1989-02-24,18.38
1989-02-25,18.38
1989-02-26,18.38
1989-02-27,18.38
1989-02-28,18.38
1989-03-01,17.88
1989-03-02,17.88
1989-03-03,17.88
1989-03-04,17.88
1989-03-05,17.88
1989-03-06,17.88
1989-03-07,17.88
1989-03-08,17.88
1989-03-09,17.88
1989-03-10,17.88
1989-03-11,17.88
1989-03-12,17.88
1989-03-13,17.88
1989-03-14,17.88
1989-03-15,17.88
1989-03-16,17.88
1989-03-17,17.88
1989-03-18,17.88
1989-03-19,17.88
1989-03-20,17.88
1989-03-21,17.88
1989-03-22,17.88
1989-03-23,17.88
1989-03-24,17.88
1989-03-25,17.88
1989-03-26,17.88
1989-03-27,17.88
1989-03-28,17.88
1989-03-29,17.88
1989-03-30,17.88
1989-03-31,17.88
1989-04-01,17.88
1989-04-02,17.88
1989-04-03,17.88
1989-04-04,17.88
1989-04-05,17.88
1989-04-06,17.88
1989-04-07,17.88
1989-04-08,17.88
1989-04-09,17.88
1989-04-10,17.88
1989-04-11,17.88
1989-04-12,17.88
