Date,Value10,Value50,Value90,ValueMurphyRight
2012-01-01,549,723,872,800
2012-01-02,550,706,871,800
2012-01-03,547,707,862,800
2012-01-04,519,699,900,800
2012-01-05,500,695,881,800
2012-01-06,548,682,871,800
2012-01-07,550,700,854,800
2012-01-08,529,700,870,800
2012-01-09,550,700,861,800
2012-01-10,550,700,881,800
2012-01-11,550,700,885,800
2012-01-12,560,696,882,800
2012-01-13,550,700,879,800
2012-01-14,552,716,870,800
2012-01-15,559,707,851,800
2012-01-16,540,700,851,800
2012-01-17,550,690,851,800
2012-01-18,550,700,874,800
2012-01-19,549,701,864,800
2012-01-20,568,692,873,800
2012-01-21,540,707,862,800
2012-01-22,539,706,853,800
2012-01-23,529,702,872,800
2012-01-24,555,695,880,800
2012-01-25,560,690,887,800
2012-01-26,550,688,894,800
2012-01-27,540,695,902,800
2012-01-28,500,696,900,800
2012-01-29,500,700,874,800
2012-01-30,529,695,873,800
2012-01-31,522,681,871,800
2012-02-01,519,700,880,800
2012-02-02,500,700,891,800
2012-02-03,500,689,875,800
2012-02-04,530,682,869,800
2012-02-05,539,680,878,800
2012-02-06,550,685,855,800
2012-02-07,547,680,869,800
2012-02-08,528,668,893,800
2012-02-09,550,665,881,800
2012-02-10,559,676,855,800
2012-02-11,550,688,868,800
2012-02-12,550,700,852,800
2012-02-13,559,704,880,800
2012-02-14,550,698,916,800
2012-02-15,525,725,881,800
2012-02-16,518,708,861,800
2012-02-17,527,705,880,800
2012-02-18,524,700,894,800
2012-02-19,539,711,905,800
2012-02-20,548,712,960,800
2012-02-21,554,711,905,800
2012-02-22,549,710,886,800
2012-02-23,557,728,890,800
2012-02-24,548,730,891,800
2012-02-25,531,738,888,800
2012-02-26,543,721,922,800
2012-02-27,550,729,931,800
2012-02-28,556,726,1010,800
2012-02-29,575,730,950,800
2012-03-01,562,739,892,800
2012-03-02,564,736,918,800
2012-03-03,561,730,898,800
2012-03-04,558,730,926,800
2012-03-05,557,722,884,800
2012-03-06,558,726,903,800
2012-03-07,558,715,893,800
2012-03-08,551,738,965,800
