Date,Value10,Value50,Value90
2012-01-01,3570,5140,6280
2012-01-02,3550,5200,6280
2012-01-03,3390,5290,6380
2012-01-04,3400,5240,6400
2012-01-05,3520,5250,6510
2012-01-06,3550,5250,6420
2012-01-07,3530,5240,6230
2012-01-08,3520,5310,6280
2012-01-09,3530,5360,6180
2012-01-10,3580,5180,6190
2012-01-11,3560,5250,6160
2012-01-12,3570,5130,6360
2012-01-13,3510,5180,6340
2012-01-14,3570,5070,6290
2012-01-15,3400,5010,6320
2012-01-16,3390,4920,6380
2012-01-17,3570,4850,6320
2012-01-18,3640,4960,6300
2012-01-19,3760,4950,6270
2012-01-20,3700,5240,6330
2012-01-21,3760,5020,6360
2012-01-22,3740,5280,6220
2012-01-23,3750,5220,6280
2012-01-24,3730,5180,6260
2012-01-25,3760,5140,6250
2012-01-26,3670,5210,6350
2012-01-27,3580,5380,6320
2012-01-28,3620,5430,6320
2012-01-29,3610,5420,6380
2012-01-30,3550,5300,6400
2012-01-31,3600,5060,6390
2012-02-01,3390,5110,6420
2012-02-02,3350,5140,6450
2012-02-03,3320,5040,6350
2012-02-04,3350,5110,6360
2012-02-05,3330,5070,6420
2012-02-06,3350,5070,6430
2012-02-07,3380,5100,6420
2012-02-08,3370,5180,6390
2012-02-09,3570,5100,6430
2012-02-10,3480,5150,6430
2012-02-11,3390,5090,6500
2012-02-12,3390,5260,6420
2012-02-13,3390,5160,6360
2012-02-14,3490,5130,6520
2012-02-15,3500,5070,6550
2012-02-16,3480,5070,6350
2012-02-17,3490,5080,6300
2012-02-18,3490,5040,6300
2012-02-19,3500,5040,6290
2012-02-20,3510,4990,6350
2012-02-21,3490,4950,6390
2012-02-22,3580,4950,6570
2012-02-23,3600,4730,6550
2012-02-24,3620,5000,6450
2012-02-25,3630,4820,6470
2012-02-26,3630,4800,6500
2012-02-27,3460,4720,6710
2012-02-28,3510,4690,6730
2012-02-29,3470,5080,6870
2012-03-01,3510,4780,6830
2012-03-02,3510,4900,6650
2012-03-03,3510,5120,6730
2012-03-04,3520,5120,6760
2012-03-05,3460,5040,6750
2012-03-06,3340,4930,6820
2012-03-07,3340,4780,6800
2012-03-08,3310,4780,6900
2012-03-09,3300,4870,6990
2012-03-10,3250,4990,6970
2012-03-11,3180,5050,7060
2012-03-12,3280,5120,7030
2012-03-13,3240,5150,6990
2012-03-14,3260,5080,7010
2012-03-15,3170,5140,6960
2012-03-16,3230,4890,7010
2012-03-17,3070,4950,7420
2012-03-18,3080,4950,7720
2012-03-19,3120,4970,7310
2012-03-20,3100,4940,7290
2012-03-21,3160,4800,7170
2012-03-22,3160,4820,7140
2012-03-23,3160,4870,7250
2012-03-24,3210,4830,7420
2012-03-25,3190,4670,7720
2012-03-26,3180,4600,7850
2012-03-27,3130,4700,7900
2012-03-28,3130,4650,7900
2012-03-29,3130,4830,7910
2012-03-30,3100,4820,7060
2012-03-31,3160,4670,7920
2012-04-01,3190,4690,8020
2012-04-02,3130,4610,8010
2012-04-03,3100,4680,7940
2012-04-04,3140,4840,7270
2012-04-05,3160,4400,7030
2012-04-06,3150,4550,7100
2012-04-07,3150,4730,7820
2012-04-08,3110,4830,8310
2012-04-09,3120,4750,8580
2012-04-10,3090,4820,8600
2012-04-11,3090,4740,8700
2012-04-12,3050,4730,8680
2012-04-13,3040,5060,8580
2012-04-14,3110,5040,8470
2012-04-15,3190,5180,8360
2012-04-16,3170,5200,7910
2012-04-17,3130,5210,7600
2012-04-18,3050,5180,7610
2012-04-19,3010,5130,8080
2012-04-20,3000,5120,7850
2012-04-21,3030,5270,7840
2012-04-22,3070,5290,7760
2012-04-23,3030,5390,7660
2012-04-24,2980,5610,7780
2012-04-25,2980,5220,7940
2012-04-26,2880,5210,8020
2012-04-27,2990,5200,8080
2012-04-28,3070,5220,8200
2012-04-29,3090,5430,8170
2012-04-30,3060,5320,8350
2012-05-01,3050,5440,8300
2012-05-02,3080,5030,8340
2012-05-03,2930,5300,8300
2012-05-04,2980,5160,8350
2012-05-05,3000,5650,8510
2012-05-06,3020,5340,9170
2012-05-07,3050,5240,9760
2012-05-08,3010,5210,9780
2012-05-09,2940,5100,9980
2012-05-10,3030,5380,10100
2012-05-11,2920,5570,11300
2012-05-12,2980,6010,10800
2012-05-13,2990,5890,11200
2012-05-14,2970,5730,11200
2012-05-15,2880,5690,11200
2012-05-16,2890,5520,11500
2012-05-17,2890,5900,12000
2012-05-18,2810,5690,12300
2012-05-19,2980,5690,12100
2012-05-20,2970,5680,12100
2012-05-21,2960,5820,12500
2012-05-22,2900,6080,13000
2012-05-23,2860,6210,12900
2012-05-24,2850,6430,12400
2012-05-25,2830,6580,12100
2012-05-26,2820,6590,11900
2012-05-27,2810,6390,12000
2012-05-28,2790,6480,12900
2012-05-29,2560,6410,14100
2012-05-30,2470,6440,13800
2012-05-31,2460,6380,13800
2012-06-01,2630,6450,14000
2012-06-02,2840,6360,14300
2012-06-03,2820,6260,14800
2012-06-04,2940,6040,14700
2012-06-05,2830,6110,14800
2012-06-06,2810,6370,14900
2012-06-07,2780,7460,14900
2012-06-08,2950,7530,15300
2012-06-09,2940,6210,14700
2012-06-10,2880,7210,14900
2012-06-11,2920,7920,15300
2012-06-12,2910,7490,15500
2012-06-13,2940,8560,16000
2012-06-14,2870,8530,16000
2012-06-15,2900,7970,16000
2012-06-16,3020,8030,16200
2012-06-17,3030,8220,17200
2012-06-18,3120,7880,18200
2012-06-19,3040,7940,18300
2012-06-20,3010,6850,18500
2012-06-21,2920,7530,18500
2012-06-22,2950,7830,18400
2012-06-23,2840,7860,18400
2012-06-24,2890,7730,18300
2012-06-25,2950,7140,18000
2012-06-26,2930,6580,18600
2012-06-27,2930,6560,18800
2012-06-28,2930,7250,18900
2012-06-29,2920,6690,19200
2012-06-30,2910,6690,19300
2012-07-01,2890,7110,18700
2012-07-02,2810,6880,17400
2012-07-03,2940,6710,17200
2012-07-04,2950,6380,17200
2012-07-05,2950,6380,16900
2012-07-06,2930,6340,16600
2012-07-07,2890,5850,15700
2012-07-08,2870,5380,15500
2012-07-09,2860,5450,14500
2012-07-10,2900,5570,13100
2012-07-11,2820,5680,13500
2012-07-12,2850,5300,13700
2012-07-13,2830,5240,13200
2012-07-14,2860,5140,12400
2012-07-15,2900,5160,12400
2012-07-16,2960,4960,11800
2012-07-17,2880,4780,10000
2012-07-18,2870,4950,9960
2012-07-19,2890,4670,9380
2012-07-20,2910,4520,8290
2012-07-21,3030,4500,7940
2012-07-22,2970,4460,7560
2012-07-23,2940,4590,7060
2012-07-24,2890,4530,7140
2012-07-25,2930,4340,7190
2012-07-26,2910,4400,7070
2012-07-27,2960,4300,6650
2012-07-28,2950,4330,6950
2012-07-29,2950,4260,6610
2012-07-30,2920,4260,6600
2012-07-31,2810,4230,6300
2012-08-01,2880,4190,6350
2012-08-02,2820,4190,6410
2012-08-03,2950,4160,6480
2012-08-04,2980,4160,6410
2012-08-05,2980,4280,6440
2012-08-06,2990,4300,6470
2012-08-07,2990,4290,6420
