Date,Value
1950-10-01,1495.12
1950-10-02,1491.06
1950-10-03,1489.73
1950-10-04,1489.73
1950-10-05,1489.73
1950-10-06,1489.73
1950-10-07,1489.73
1950-10-08,1489.73
1950-10-09,1489.73
1950-10-10,1489.73
1950-10-11,1489.73
1950-10-12,1489.73
1950-10-13,1489.73
1950-10-14,1489.73
1950-10-15,1489.73
1950-10-16,1489.73
1950-10-17,1489.73
1950-10-18,1489.73
1950-10-19,1489.73
1950-10-20,1489.73
1950-10-21,1489.73
1950-10-22,1489.73
1950-10-23,1489.73
1950-10-24,1489.73
1950-10-25,1489.73
1950-10-26,1489.73
1950-10-27,1489.73
1950-10-28,1489.73
1950-10-29,1489.73
1950-10-30,1489.73
1950-10-31,1489.73
1950-11-01,1489.73
1950-11-02,1489.73
1950-11-03,1489.73
1950-11-04,1489.73
1950-11-05,1489.73
1950-11-06,1489.73
1950-11-07,1489.73
1950-11-08,1489.73
1950-11-09,1489.73
1950-11-10,1489.73
1950-11-11,1489.73
1950-11-12,1489.73
1950-11-13,1489.73
1950-11-14,1489.73
1950-11-15,1489.73
1950-11-16,1489.73
1950-11-17,1489.73
1950-11-18,1489.73
1950-11-19,1489.73
1950-11-20,1489.73
1950-11-21,1489.73
1950-11-22,1489.73
1950-11-23,1489.73
1950-11-24,1489.73
1950-11-25,1489.73
1950-11-26,1489.73
1950-11-27,1489.73
1950-11-28,1489.73
1950-11-29,1489.73
1950-11-30,1489.73
1950-12-01,1489.73
1950-12-02,1489.73
1950-12-03,1489.73
1950-12-04,1489.73
1950-12-05,1489.73
1950-12-06,1489.73
1950-12-07,1489.73
1950-12-08,1489.73
1950-12-09,1489.73
1950-12-10,1489.73
1950-12-11,1489.73
1950-12-12,1489.73
1950-12-13,1489.73
1950-12-14,1489.73
1950-12-15,1489.73
1950-12-16,1489.73
1950-12-17,1489.73
1950-12-18,1489.73
1950-12-19,1489.73
1950-12-20,1489.73
1950-12-21,1489.73
1950-12-22,1489.73
1950-12-23,1489.73
1950-12-24,1489.73
1950-12-25,1489.73
1950-12-26,1489.73
1950-12-27,1489.73
1950-12-28,1489.73
1950-12-29,1489.73
1950-12-30,1489.73
1950-12-31,1489.73
1951-01-01,1489.73
1951-01-02,1489.73
1951-01-03,1489.73
1951-01-04,1489.73
1951-01-05,1489.73
1951-01-06,1489.73
1951-01-07,1489.73
1951-01-08,1489.73
1951-01-09,1489.73
1951-01-10,1489.73
1951-01-11,1489.73
1951-01-12,1489.73
1951-01-13,1489.73
1951-01-14,1489.73
1951-01-15,1489.73
1951-01-16,1489.73
1951-01-17,1489.73
1951-01-18,1489.73
1951-01-19,1489.73
1951-01-20,1489.73
1951-01-21,1489.73
1951-01-22,1489.73
1951-01-23,1489.73
1951-01-24,1489.73
1951-01-25,1489.73
1951-01-26,1489.73
1951-01-27,1489.73
1951-01-28,1489.73
1951-01-29,1489.73
1951-01-30,1489.73
1951-01-31,1489.73
1951-02-01,1489.73
1951-02-02,1489.73
1951-02-03,1489.73
1951-02-04,1489.73
1951-02-05,1489.73
1951-02-06,1489.73
1951-02-07,1489.73
1951-02-08,1489.73
1951-02-09,1489.73
1951-02-10,1489.73
1951-02-11,1489.73
1951-02-12,1489.73
1951-02-13,1489.73
1951-02-14,1489.73
1951-02-15,1489.73
1951-02-16,1489.73
1951-02-17,1489.73
1951-02-18,1489.73
1951-02-19,1489.73
1951-02-20,1489.73
1951-02-21,1489.73
1951-02-22,1489.73
1951-02-23,1489.73
1951-02-24,1489.73
1951-02-25,1489.73
1951-02-26,1489.73
1951-02-27,1489.73
1951-02-28,1489.73
1951-03-01,1531.52
1951-03-02,1567.7
1951-03-03,1603.16
1951-03-04,1644.57
1951-03-05,1683.95
1951-03-06,1710.46
1951-03-07,1724.87
1951-03-08,1735.02
1951-03-09,1751.83
1951-03-10,1779.98
1951-03-11,1819.57
1951-03-12,1883.72
1951-03-13,1989.77
1951-03-14,2109.38
1951-03-15,2228.98
1951-03-16,2348.58
1951-03-17,2468.19
1951-03-18,2587.79
1951-03-19,2707.39
1951-03-20,2827
1951-03-21,2946.6
1951-03-22,3066.2
1951-03-23,3185.81
1951-03-24,3305.41
1951-03-25,3425.01
1951-03-26,3544.62
1951-03-27,3664.22
1951-03-28,3783.82
1951-03-29,3903.43
1951-03-30,4023.03
1951-03-31,4142.63
1951-04-01,4262.24
1951-04-02,4381.84
1951-04-03,4464.6
1951-04-04,4464.6
1951-04-05,4464.6
1951-04-06,4464.6
1951-04-07,4464.6
1951-04-08,4464.6
1951-04-09,4464.6
1951-04-10,4464.6
1951-04-11,4464.6
1951-04-12,4464.6
1951-04-13,4464.6
1951-04-14,4464.6
1951-04-15,4464.6
1951-04-16,4464.6
1951-04-17,4464.6
1951-04-18,4464.6
1951-04-19,4464.6
1951-04-20,4464.6
1951-04-21,4464.6
1951-04-22,4464.6
1951-04-23,4464.6
1951-04-24,4464.6
1951-04-25,4464.6
1951-04-26,4464.6
1951-04-27,4464.6
1951-04-28,4464.6
1951-04-29,4464.6
1951-04-30,4464.6
1951-05-01,4464.6
1951-05-02,4464.6
1951-05-03,4464.6
1951-05-04,4464.6
1951-05-05,4464.6
1951-05-06,4464.6
1951-05-07,4464.6
1951-05-08,4464.6
1951-05-09,4464.6
1951-05-10,4464.6
1951-05-11,4464.6
1951-05-12,4464.6
1951-05-13,4464.6
1951-05-14,4464.6
1951-05-15,4464.6
1951-05-16,4464.6
1951-05-17,4464.6
1951-05-18,4461.47
1951-05-19,4454.81
1951-05-20,4448
1951-05-21,4444.64
1951-05-22,4442.8
1951-05-23,4438.24
1951-05-24,4431.06
1951-05-25,4420.94
1951-05-26,4410.56
1951-05-27,4403.15
1951-05-28,4395.18
1951-05-29,4385.34
1951-05-30,4374.15
1951-05-31,4361.86
1951-06-01,4357.97
1951-06-02,4356.28
1951-06-03,4356.28
1951-06-04,4356.28
1951-06-05,4356.28
1951-06-06,4353.07
1951-06-07,4347.57
1951-06-08,4341.61
1951-06-09,4335.93
1951-06-10,4327.14
1951-06-11,4317
1951-06-12,4306.66
1951-06-13,4295.77
1951-06-14,4284.75
1951-06-15,4273.45
1951-06-16,4261.72
1951-06-17,4249.61
1951-06-18,4237.95
1951-06-19,4227.18
1951-06-20,4215.72
1951-06-21,4202.62
1951-06-22,4189.08
1951-06-23,4176.25
1951-06-24,4164.15
1951-06-25,4151.98
1951-06-26,4139.84
1951-06-27,4127.48
1951-06-28,4114.85
1951-06-29,4102.22
1951-06-30,4090.71
1951-07-01,4082.74
1951-07-02,4073.99
1951-07-03,4064.69
1951-07-04,4054.62
1951-07-05,4044.02
1951-07-06,4032.83
1951-07-07,4022.46
1951-07-08,4012.25
1951-07-09,4001.8
1951-07-10,3991.18
1951-07-11,3980.55
1951-07-12,3969.6
1951-07-13,3958.1
1951-07-14,3945.97
1951-07-15,3934.29
1951-07-16,3923.22
1951-07-17,3912.73
1951-07-18,3902.04
1951-07-19,3857.66
1951-07-20,3795.37
1951-07-21,3714.05
1951-07-22,3626.06
1951-07-23,3537.8
1951-07-24,3450.58
1951-07-25,3362.87
1951-07-26,3276.08
1951-07-27,3190.5
1951-07-28,3107.16
1951-07-29,3026.66
1951-07-30,2947.49
1951-07-31,2869.32
1951-08-01,2770.15
1951-08-02,2670.98
1951-08-03,2571.8
1951-08-04,2472.63
1951-08-05,2373.46
1951-08-06,2274.28
1951-08-07,2175.11
1951-08-08,2075.93
1951-08-09,1976.76
1951-08-10,1893.67
1951-08-11,1838.99
1951-08-12,1796.15
1951-08-13,1758.25
1951-08-14,1747.02
1951-08-15,1735.78
1951-08-16,1724.76
1951-08-17,1714
1951-08-18,1703.69
1951-08-19,1693.65
1951-08-20,1683.74
1951-08-21,1673.81
1951-08-22,1663.27
1951-08-23,1652.59
1951-08-24,1642.35
1951-08-25,1632.61
1951-08-26,1623.13
1951-08-27,1613.97
1951-08-28,1605.09
1951-08-29,1596.38
1951-08-30,1596.38
1951-08-31,1596.38
1951-09-01,1582.96
1951-09-02,1568.92
1951-09-03,1554.56
1951-09-04,1541.1
1951-09-05,1524.35
1951-09-06,1508.08
1951-09-07,1491.69
1951-09-08,1475.19
1951-09-09,1459.14
1951-09-10,1443.63
1951-09-11,1429.12
1951-09-12,1414.8
1951-09-13,1400.11
1951-09-14,1385.12
1951-09-15,1370.99
1951-09-16,1357.8
1951-09-17,1345.62
1951-09-18,1334.96
