Measure,File,Slot
East Gallatin August Flow,ReachOutflow.rdf,Gallatin_E Gallatin Bridger Creek to Confluence.Outflow
Lower Gallatin August Flow,ReachOutflow.rdf,Gallatin_Logan to Three Forks.Inflow
City of Bozeman Deliveries,MandI.rdf,City of Bozeman.Total Diversion
Rural Valley M&I Deliveries,Groundwater.rdf,Gallatin Rural GW Users.Total Diversion
Rural Valley M&I Deliveries,Groundwater.rdf,New Rural Pipeline Users.Total Diversion
Valley Irrigation Deliveries,DiversionShortage.rdf,GW Users above Logan.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Baker Ditch.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Farmers and W Gallatin Canal bl Hyalite Creek.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Farmers and W Gallatin Canal:S Cottonwood Creek to Hyalite Creek.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Gallatin_Axtell Bridge to I_90 Bridge.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Gallatin_Cottonwood Creek:Natural.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Gallatin_Cottonwood Creek:NWC.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Gallatin_E Gallatin Bridger Creek to Confluence.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Gallatin_E Gallatin Headwaters to Bridger Creek.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Gallatin_Gateway to Axtell Bridge.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Gallatin_Logan to Three Forks.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Gallatin_Sourdough Creek.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water_Users_Hyalite Creek RS to W Gallatin Canal:Natural.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water_Users_Hyalite Creek RS to W Gallatin Canal:NWC.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Other Tribs above Axtell Bridge.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users Tribs above I_90 Bridge.Diversion Shortage
Valley Irrigation Deliveries,DiversionShortage.rdf,Water Users West Gallatin Canal ab Cottonwood.Diversion Shortage
