Measure,File,Slot
Gallatin Irrigators Shortage,DepletionShortage.rdf,GW Users above Logan.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Baker Ditch.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Farmers and W Gallatin Canal bl Hyalite Creek.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Farmers and W Gallatin Canal:S Cottonwood Creek to Hyalite Creek.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Gallatin_Axtell Bridge to I_90 Bridge.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Gallatin_Cottonwood Creek:Natural.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Gallatin_Cottonwood Creek:NWC.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Gallatin_E Gallatin Bridger Creek to Confluence.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Gallatin_E Gallatin Headwaters to Bridger Creek.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Gallatin_Gateway to Axtell Bridge.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Gallatin_Logan to Three Forks.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Gallatin_Sourdough Creek.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water_Users_Hyalite Creek RS to W Gallatin Canal:Natural.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water_Users_Hyalite Creek RS to W Gallatin Canal:NWC.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Other Tribs above Axtell Bridge.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users Tribs above I_90 Bridge.Depletion Shortage
Gallatin Irrigators Shortage,DepletionShortage.rdf,Water Users West Gallatin Canal ab Cottonwood.Depletion Shortage
Clark Canyon Irrigators Shortage,Allocations.rdf,Clark Canyon Res Data.Company Annual Allocation Fraction
Clark Canyon Irrigators Shortage,Allocations.rdf,Clark Canyon Res Data.District Annual Allocation Fraction
Clark Canyon Irrigators Shortage,Allocations.rdf,Clark Canyon Res Data.Senior Annual Allocation Fraction
Beaverhead Irrigators Shortage,DepletionShortage.rdf,Blacktail and Other Tribs SW and GW.Depletion Shortage
Beaverhead Irrigators Shortage,DepletionShortage.rdf,Blacktail and Other Tribs SW Only.Depletion Shortage
Beaverhead Irrigators Shortage,DepletionShortage.rdf,Grasshopper Irrigation.Depletion Shortage
Beaverhead Irrigators Shortage,DepletionShortage.rdf,Horse Prairie Irrigation.Depletion Shortage
Beaverhead Irrigators Shortage,DepletionShortage.rdf,Irrigation above RRLR.Depletion Shortage
Beaverhead Irrigators Shortage,DepletionShortage.rdf,Lower Red Rock Irrigation Access to Storage.Depletion Shortage
Beaverhead Irrigators Shortage,DepletionShortage.rdf,Lower Red Rock Irrigation no Access to Storage.Depletion Shortage
Beaverhead Irrigators Shortage,DepletionShortage.rdf,Outlaw.Depletion Shortage
Beaverhead Irrigators Shortage,DepletionShortage.rdf,RRR Tributary Irrigation.Depletion Shortage
Beaverhead Irrigators Shortage,DepletionShortage.rdf,Tributary Irrigation above Lima.Depletion Shortage
Big Hole Irrigators Shortage,DepletionShortage.rdf,Water Users Big Hole_Glen to Mouth.Depletion Shortage
Big Hole Irrigators Shortage,DepletionShortage.rdf,Water Users Big Hole_Headwaters.Depletion Shortage
Big Hole Irrigators Shortage,DepletionShortage.rdf,Water Users Big Hole_Melrose to Glen.Depletion Shortage
Big Hole Irrigators Shortage,DepletionShortage.rdf,Water Users Big Hole_Miners Lake Rd to Wisdom.Depletion Shortage
Big Hole Irrigators Shortage,DepletionShortage.rdf,Water Users Big Hole_Tribs above Dickey Bridge.Depletion Shortage
Big Hole Irrigators Shortage,DepletionShortage.rdf,Water Users Big Hole_Tribs above Glen.Depletion Shortage
Big Hole Irrigators Shortage,DepletionShortage.rdf,Water Users Big Hole_Tribs above Melrose.Depletion Shortage
Big Hole Irrigators Shortage,DepletionShortage.rdf,Water Users Big Hole_Tribs above Wisdom.Depletion Shortage
Big Hole Irrigators Shortage,DepletionShortage.rdf,Water Users Big Hole_Wisdom to Dickey Bridge.Depletion Shortage
Big Hole Irrigators Shortage,DepletionShortage.rdf,Water Users Big Hole_Dickey Bridge to Melrose:Natural Flow Users.Depletion Shortage
