Measure,Scenario,Period,Strategy,WYear,Value
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1951,95884.2918643
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1952,479968.4408434
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1953,180384.9336964
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1954,265174.3885952
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1955,21582.8511192
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1956,356048.336066
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1957,190364.2472992
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1958,62365.7116731
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1959,373501.9398351
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1960,462584.2386896
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1961,842611.0014367
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1962,290886.3482216
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1963,357903.5945652
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1964,106479.9687696
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1965,41554.8072432
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1966,327901.4488329
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1967,450861.9904937
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1968,324988.9214849
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1969,205876.8074916
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1970,120835.0155394
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1971,499876.291217
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1972,397340.1748566
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1973,704350.0317
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1974,448892.0675938
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1975,42040.5987156
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1976,268983.5633914
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1977,299926.9648122
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1978,110678.3400492
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1979,457668.446311
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1980,154248.0751266
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1981,315265.1383222
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1982,158494.9819171
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1983,409430.1187211
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1984,453280.1181095
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1985,627309.5378931
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1986,506918.2840968
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1987,185385.5590869
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1988,378066.4596767
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1989,93688.2533844
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1990,268946.1353125
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1991,182157.2038108
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1992,400650.625956
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1993,92362.0260036
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1994,344303.4366427
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1995,131511.9552106
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1996,154624.6567408
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1997,112148.964046
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1998,177931.539984
GID Shortages,CT,2020s,PishkunAdd30kAcFt,1999,178903.3609452
