Measure,Scenario,Period,Strategy,WYear,Value
GID Shortages,CT,2020s,Baseline,1951,128817.8277443
GID Shortages,CT,2020s,Baseline,1952,495764.2603865
GID Shortages,CT,2020s,Baseline,1953,208709.4009986
GID Shortages,CT,2020s,Baseline,1954,300788.7230231
GID Shortages,CT,2020s,Baseline,1955,21582.8511192
GID Shortages,CT,2020s,Baseline,1956,413447.4190244
GID Shortages,CT,2020s,Baseline,1957,196652.9579424
GID Shortages,CT,2020s,Baseline,1958,82760.8411216
GID Shortages,CT,2020s,Baseline,1959,418187.4957957
GID Shortages,CT,2020s,Baseline,1960,476505.1832152
GID Shortages,CT,2020s,Baseline,1961,842980.4425589
GID Shortages,CT,2020s,Baseline,1962,303520.9132787
GID Shortages,CT,2020s,Baseline,1963,402950.9354538
GID Shortages,CT,2020s,Baseline,1964,106479.9687696
GID Shortages,CT,2020s,Baseline,1965,41554.8072432
GID Shortages,CT,2020s,Baseline,1966,383187.164341
GID Shortages,CT,2020s,Baseline,1967,530153.9210976
GID Shortages,CT,2020s,Baseline,1968,335026.330924
GID Shortages,CT,2020s,Baseline,1969,207105.1307932
GID Shortages,CT,2020s,Baseline,1970,165204.7039025
GID Shortages,CT,2020s,Baseline,1971,524756.7802194
GID Shortages,CT,2020s,Baseline,1972,394711.4622309
GID Shortages,CT,2020s,Baseline,1973,725719.0647532
GID Shortages,CT,2020s,Baseline,1974,456924.3872099
GID Shortages,CT,2020s,Baseline,1975,54891.8182008
GID Shortages,CT,2020s,Baseline,1976,270868.7921223
GID Shortages,CT,2020s,Baseline,1977,312551.0769824
GID Shortages,CT,2020s,Baseline,1978,110678.3400492
GID Shortages,CT,2020s,Baseline,1979,522978.9960584
GID Shortages,CT,2020s,Baseline,1980,159068.8592922
GID Shortages,CT,2020s,Baseline,1981,321516.5993988
GID Shortages,CT,2020s,Baseline,1982,180425.1783027
GID Shortages,CT,2020s,Baseline,1983,422941.853551
GID Shortages,CT,2020s,Baseline,1984,480252.6919291
GID Shortages,CT,2020s,Baseline,1985,638612.7582168
GID Shortages,CT,2020s,Baseline,1986,509636.947087
GID Shortages,CT,2020s,Baseline,1987,185188.9972099
GID Shortages,CT,2020s,Baseline,1988,441422.9939536
GID Shortages,CT,2020s,Baseline,1989,93688.2533844
GID Shortages,CT,2020s,Baseline,1990,335222.9126357
GID Shortages,CT,2020s,Baseline,1991,183215.6627416
GID Shortages,CT,2020s,Baseline,1992,404820.8914657
GID Shortages,CT,2020s,Baseline,1993,92362.0260036
GID Shortages,CT,2020s,Baseline,1994,402679.8546089
GID Shortages,CT,2020s,Baseline,1995,130876.887786
GID Shortages,CT,2020s,Baseline,1996,169580.8535982
GID Shortages,CT,2020s,Baseline,1997,129424.9084072
GID Shortages,CT,2020s,Baseline,1998,179411.3077775
GID Shortages,CT,2020s,Baseline,1999,214788.3001852
GID Shortages,CT,2050s,Baseline,1951,261090.3246917
GID Shortages,CT,2050s,Baseline,1952,690072.4592684
GID Shortages,CT,2050s,Baseline,1953,502687.1657275
GID Shortages,CT,2050s,Baseline,1954,661550.7557094
GID Shortages,CT,2050s,Baseline,1955,155968.1204759
GID Shortages,CT,2050s,Baseline,1956,587251.0405832
GID Shortages,CT,2050s,Baseline,1957,286939.2429216
GID Shortages,CT,2050s,Baseline,1958,282149.8967555
GID Shortages,CT,2050s,Baseline,1959,670322.7112885
GID Shortages,CT,2050s,Baseline,1960,584049.2439704
GID Shortages,CT,2050s,Baseline,1961,838753.6283195
GID Shortages,CT,2050s,Baseline,1962,449359.6508116
GID Shortages,CT,2050s,Baseline,1963,718430.4075442
GID Shortages,CT,2050s,Baseline,1964,166353.6487347
GID Shortages,CT,2050s,Baseline,1965,194155.8088818
GID Shortages,CT,2050s,Baseline,1966,533607.5985657
GID Shortages,CT,2050s,Baseline,1967,619590.606537
GID Shortages,CT,2050s,Baseline,1968,525288.31051
GID Shortages,CT,2050s,Baseline,1969,377701.6202049
GID Shortages,CT,2050s,Baseline,1970,491194.9405475
GID Shortages,CT,2050s,Baseline,1971,740949.3176605
GID Shortages,CT,2050s,Baseline,1972,693454.6128083
GID Shortages,CT,2050s,Baseline,1973,920485.3261969
GID Shortages,CT,2050s,Baseline,1974,673368.7658369
GID Shortages,CT,2050s,Baseline,1975,118569.456436
GID Shortages,CT,2050s,Baseline,1976,547185.620963
GID Shortages,CT,2050s,Baseline,1977,412053.99168
GID Shortages,CT,2050s,Baseline,1978,156315.683924
GID Shortages,CT,2050s,Baseline,1979,729547.042845
GID Shortages,CT,2050s,Baseline,1980,243224.2781708
GID Shortages,CT,2050s,Baseline,1981,375721.0460711
GID Shortages,CT,2050s,Baseline,1982,382298.3515993
GID Shortages,CT,2050s,Baseline,1983,615838.7540238
GID Shortages,CT,2050s,Baseline,1984,815752.3382992
GID Shortages,CT,2050s,Baseline,1985,596306.255513
GID Shortages,CT,2050s,Baseline,1986,727252.4457408
GID Shortages,CT,2050s,Baseline,1987,365047.0419355
GID Shortages,CT,2050s,Baseline,1988,561502.6446129
GID Shortages,CT,2050s,Baseline,1989,140598.8263216
GID Shortages,CT,2050s,Baseline,1990,460709.8397049
GID Shortages,CT,2050s,Baseline,1991,437741.9314847
GID Shortages,CT,2050s,Baseline,1992,730239.670569
GID Shortages,CT,2050s,Baseline,1993,115067.1244488
GID Shortages,CT,2050s,Baseline,1994,623447.8408113
GID Shortages,CT,2050s,Baseline,1995,193103.5383774
GID Shortages,CT,2050s,Baseline,1996,416777.4668074
GID Shortages,CT,2050s,Baseline,1997,138828.3016608
GID Shortages,CT,2050s,Baseline,1998,336225.8939106
GID Shortages,CT,2050s,Baseline,1999,536691.9737545
GID Shortages,CT,2080s,Baseline,1951,231786.3405647
GID Shortages,CT,2080s,Baseline,1952,838415.1888334
GID Shortages,CT,2080s,Baseline,1953,677076.1886221
GID Shortages,CT,2080s,Baseline,1954,747154.7622331
GID Shortages,CT,2080s,Baseline,1955,233379.642181
GID Shortages,CT,2080s,Baseline,1956,671218.7240263
GID Shortages,CT,2080s,Baseline,1957,513544.2441441
GID Shortages,CT,2080s,Baseline,1958,227833.5228711
GID Shortages,CT,2080s,Baseline,1959,802634.6792889
GID Shortages,CT,2080s,Baseline,1960,805642.5718745
GID Shortages,CT,2080s,Baseline,1961,875759.3669524
GID Shortages,CT,2080s,Baseline,1962,542667.2961377
GID Shortages,CT,2080s,Baseline,1963,795868.6267555
GID Shortages,CT,2080s,Baseline,1964,249834.905995
GID Shortages,CT,2080s,Baseline,1965,188241.2798541
GID Shortages,CT,2080s,Baseline,1966,628327.8513911
GID Shortages,CT,2080s,Baseline,1967,729069.1852526
GID Shortages,CT,2080s,Baseline,1968,591807.9240653
GID Shortages,CT,2080s,Baseline,1969,461062.7783567
GID Shortages,CT,2080s,Baseline,1970,653134.8329953
GID Shortages,CT,2080s,Baseline,1971,972501.688104
GID Shortages,CT,2080s,Baseline,1972,742604.9399042
GID Shortages,CT,2080s,Baseline,1973,1089658.4973713
GID Shortages,CT,2080s,Baseline,1974,761730.5097098
GID Shortages,CT,2080s,Baseline,1975,122926.4854809
GID Shortages,CT,2080s,Baseline,1976,638093.8626301
GID Shortages,CT,2080s,Baseline,1977,606407.8897107
GID Shortages,CT,2080s,Baseline,1978,225347.3027302
GID Shortages,CT,2080s,Baseline,1979,897717.5104303
GID Shortages,CT,2080s,Baseline,1980,320252.6728107
GID Shortages,CT,2080s,Baseline,1981,517203.0520796
GID Shortages,CT,2080s,Baseline,1982,508725.1062586
GID Shortages,CT,2080s,Baseline,1983,745155.9203406
GID Shortages,CT,2080s,Baseline,1984,1104946.9849578
GID Shortages,CT,2080s,Baseline,1985,723002.2662248
GID Shortages,CT,2080s,Baseline,1986,858187.8657265
GID Shortages,CT,2080s,Baseline,1987,463995.2792476
GID Shortages,CT,2080s,Baseline,1988,756274.7176237
GID Shortages,CT,2080s,Baseline,1989,150266.1797628
GID Shortages,CT,2080s,Baseline,1990,688426.2981766
GID Shortages,CT,2080s,Baseline,1991,582033.998781
GID Shortages,CT,2080s,Baseline,1992,731551.1607677
GID Shortages,CT,2080s,Baseline,1993,129082.4821464
GID Shortages,CT,2080s,Baseline,1994,796902.6691706
GID Shortages,CT,2080s,Baseline,1995,288713.6750183
GID Shortages,CT,2080s,Baseline,1996,520194.8388888
GID Shortages,CT,2080s,Baseline,1997,325593.7608267
GID Shortages,CT,2080s,Baseline,1998,556464.9680028
GID Shortages,CT,2080s,Baseline,1999,561344.1256905
GID Shortages,HD,2020s,Baseline,1951,159753.6126403
GID Shortages,HD,2020s,Baseline,1952,477112.8787538
GID Shortages,HD,2020s,Baseline,1953,472929.6413503
GID Shortages,HD,2020s,Baseline,1954,338945.9056604
GID Shortages,HD,2020s,Baseline,1955,78448.9955233
GID Shortages,HD,2020s,Baseline,1956,357874.6359032
GID Shortages,HD,2020s,Baseline,1957,203608.7888854
GID Shortages,HD,2020s,Baseline,1958,158039.517701
GID Shortages,HD,2020s,Baseline,1959,501192.1450497
GID Shortages,HD,2020s,Baseline,1960,710199.5227464
GID Shortages,HD,2020s,Baseline,1961,683112.7605589
GID Shortages,HD,2020s,Baseline,1962,417881.1488542
GID Shortages,HD,2020s,Baseline,1963,697046.5778048
GID Shortages,HD,2020s,Baseline,1964,128763.4211622
GID Shortages,HD,2020s,Baseline,1965,185664.2167872
GID Shortages,HD,2020s,Baseline,1966,371628.1160567
GID Shortages,HD,2020s,Baseline,1967,551776.4416168
GID Shortages,HD,2020s,Baseline,1968,371820.9490101
GID Shortages,HD,2020s,Baseline,1969,422358.6538669
GID Shortages,HD,2020s,Baseline,1970,336985.0472184
GID Shortages,HD,2020s,Baseline,1971,556761.3777596
GID Shortages,HD,2020s,Baseline,1972,505503.8518051
GID Shortages,HD,2020s,Baseline,1973,848076.8893851
GID Shortages,HD,2020s,Baseline,1974,629104.1418797
GID Shortages,HD,2020s,Baseline,1975,59926.0832425
GID Shortages,HD,2020s,Baseline,1976,341411.9340767
GID Shortages,HD,2020s,Baseline,1977,354543.2195259
GID Shortages,HD,2020s,Baseline,1978,129305.979546
GID Shortages,HD,2020s,Baseline,1979,675940.4140307
GID Shortages,HD,2020s,Baseline,1980,364759.7164713
GID Shortages,HD,2020s,Baseline,1981,402501.203466
GID Shortages,HD,2020s,Baseline,1982,249132.2022434
GID Shortages,HD,2020s,Baseline,1983,435385.5691247
GID Shortages,HD,2020s,Baseline,1984,691122.3694435
GID Shortages,HD,2020s,Baseline,1985,576690.4115928
GID Shortages,HD,2020s,Baseline,1986,648600.1643772
GID Shortages,HD,2020s,Baseline,1987,335005.0482909
GID Shortages,HD,2020s,Baseline,1988,568514.270567
GID Shortages,HD,2020s,Baseline,1989,153780.1348842
GID Shortages,HD,2020s,Baseline,1990,323439.8314149
GID Shortages,HD,2020s,Baseline,1991,389608.5492925
GID Shortages,HD,2020s,Baseline,1992,554708.6648219
GID Shortages,HD,2020s,Baseline,1993,146011.4779352
GID Shortages,HD,2020s,Baseline,1994,447010.1115884
GID Shortages,HD,2020s,Baseline,1995,141962.2834343
GID Shortages,HD,2020s,Baseline,1996,383103.660254
GID Shortages,HD,2020s,Baseline,1997,165179.0973048
GID Shortages,HD,2020s,Baseline,1998,295751.0265783
GID Shortages,HD,2020s,Baseline,1999,432707.9441288
GID Shortages,HD,2050s,Baseline,1951,459589.238659
GID Shortages,HD,2050s,Baseline,1952,849010.3103671
GID Shortages,HD,2050s,Baseline,1953,592365.894011
GID Shortages,HD,2050s,Baseline,1954,699263.9782566
GID Shortages,HD,2050s,Baseline,1955,219838.8495156
GID Shortages,HD,2050s,Baseline,1956,723123.5950847
GID Shortages,HD,2050s,Baseline,1957,504991.2438183
GID Shortages,HD,2050s,Baseline,1958,257179.7152397
GID Shortages,HD,2050s,Baseline,1959,881368.580443
GID Shortages,HD,2050s,Baseline,1960,834785.5180722
GID Shortages,HD,2050s,Baseline,1961,1022696.7881877
GID Shortages,HD,2050s,Baseline,1962,569246.0916582
GID Shortages,HD,2050s,Baseline,1963,886035.1101467
GID Shortages,HD,2050s,Baseline,1964,273564.6848769
GID Shortages,HD,2050s,Baseline,1965,448358.1968086
GID Shortages,HD,2050s,Baseline,1966,865401.3494225
GID Shortages,HD,2050s,Baseline,1967,737735.1045255
GID Shortages,HD,2050s,Baseline,1968,707590.7043248
GID Shortages,HD,2050s,Baseline,1969,527466.8547845
GID Shortages,HD,2050s,Baseline,1970,700694.4171512
GID Shortages,HD,2050s,Baseline,1971,983403.2954221
GID Shortages,HD,2050s,Baseline,1972,859072.2949995
GID Shortages,HD,2050s,Baseline,1973,1122695.986914
GID Shortages,HD,2050s,Baseline,1974,1014713.3611071
GID Shortages,HD,2050s,Baseline,1975,222726.7620009
GID Shortages,HD,2050s,Baseline,1976,612402.9277857
GID Shortages,HD,2050s,Baseline,1977,796570.9338131
GID Shortages,HD,2050s,Baseline,1978,272605.736636
GID Shortages,HD,2050s,Baseline,1979,989625.2622998
GID Shortages,HD,2050s,Baseline,1980,503130.7092889
GID Shortages,HD,2050s,Baseline,1981,568411.3483087
GID Shortages,HD,2050s,Baseline,1982,503234.3455964
GID Shortages,HD,2050s,Baseline,1983,841669.6465747
GID Shortages,HD,2050s,Baseline,1984,1071894.6392248
GID Shortages,HD,2050s,Baseline,1985,728909.6745952
GID Shortages,HD,2050s,Baseline,1986,826046.4484257
GID Shortages,HD,2050s,Baseline,1987,657373.4290465
GID Shortages,HD,2050s,Baseline,1988,1029917.0751858
GID Shortages,HD,2050s,Baseline,1989,308739.5220222
GID Shortages,HD,2050s,Baseline,1990,764580.5180834
GID Shortages,HD,2050s,Baseline,1991,503797.8692581
GID Shortages,HD,2050s,Baseline,1992,843323.8605547
GID Shortages,HD,2050s,Baseline,1993,203229.7477684
GID Shortages,HD,2050s,Baseline,1994,650783.9846819
GID Shortages,HD,2050s,Baseline,1995,353417.6003009
GID Shortages,HD,2050s,Baseline,1996,619494.3685726
GID Shortages,HD,2050s,Baseline,1997,369136.6397203
GID Shortages,HD,2050s,Baseline,1998,567741.0742916
GID Shortages,HD,2050s,Baseline,1999,689118.7473883
GID Shortages,HD,2080s,Baseline,1951,648114.1745578
GID Shortages,HD,2080s,Baseline,1952,1056405.8211683
GID Shortages,HD,2080s,Baseline,1953,1039008.2900961
GID Shortages,HD,2080s,Baseline,1954,1095968.2724659
GID Shortages,HD,2080s,Baseline,1955,433956.4194856
GID Shortages,HD,2080s,Baseline,1956,1050880.3894505
GID Shortages,HD,2080s,Baseline,1957,766556.7880873
GID Shortages,HD,2080s,Baseline,1958,560981.1308458
GID Shortages,HD,2080s,Baseline,1959,1239383.7650304
GID Shortages,HD,2080s,Baseline,1960,1187215.687503
GID Shortages,HD,2080s,Baseline,1961,1268115.9544258
GID Shortages,HD,2080s,Baseline,1962,955027.1388917
GID Shortages,HD,2080s,Baseline,1963,1174148.983837
GID Shortages,HD,2080s,Baseline,1964,566330.2915847
GID Shortages,HD,2080s,Baseline,1965,786504.5062079
GID Shortages,HD,2080s,Baseline,1966,1177940.386742
GID Shortages,HD,2080s,Baseline,1967,1006105.1409765
GID Shortages,HD,2080s,Baseline,1968,1011451.3463451
GID Shortages,HD,2080s,Baseline,1969,753202.4812713
GID Shortages,HD,2080s,Baseline,1970,1183338.7573716
GID Shortages,HD,2080s,Baseline,1971,1260785.5451733
GID Shortages,HD,2080s,Baseline,1972,1142313.0605856
GID Shortages,HD,2080s,Baseline,1973,1457906.4433581
