"","Measure","Scenario","Period","Strategy","WYear","Value"
"1","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1951,0
"2","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1952,0
"3","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1953,168.6941235
"4","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1954,0
"5","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1955,0
"6","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1956,0
"7","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1957,8.1718964
"8","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1958,0
"9","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1959,0
"10","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1960,0
"11","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1961,527.7418629
"12","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1962,346.7303907
"13","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1963,40.661135
"14","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1964,691.0211133
"15","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1965,0
"16","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1966,0
"17","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1967,38.9156814
"18","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1968,635.6624656
"19","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1969,0
"20","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1970,0
"21","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1971,0
"22","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1972,0
"23","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1973,9672.4112897
"24","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1974,593.8310833
"25","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1975,54.5057556
"26","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1976,0
"27","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1977,6554.8923172
"28","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1978,13.6462736
"29","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1979,8.5884251
"30","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1980,1043.1465424
"31","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1981,216.2577341
"32","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1982,0
"33","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1983,1340.7463812
"34","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1984,967.8341865
"35","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1985,4431.6075169
"36","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1986,0.9322309
"37","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1987,426.4857194
"38","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1988,2002.1939568
"39","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1989,454.9088445
"40","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1990,0
"41","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1991,55.7950111
"42","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1992,1958.9741455
"43","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1993,98.0032527
"44","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1994,878.875557
"45","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1995,1005.1432572
"46","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1996,0
"47","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1997,311.5833023
"48","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1998,14.2413146
"49","FSID and Broken O Shortages","CT","2020s","Add30kAcFt",1999,0
"50","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1951,0
"51","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1952,11.6429689
"52","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1953,90.6644137
"53","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1954,0
"54","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1955,0
"55","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1956,0
"56","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1957,0
"57","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1958,0
"58","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1959,0
"59","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1960,38.3404751
"60","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1961,274.2345622
"61","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1962,312.7535496
"62","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1963,290.380008
