"","Trace","Measure","Strategy","WYear","Value","Directory","StrategyLab","ScenarioSet"
"1",68,"GID Shortages","Baseline",1951,79382.9123728,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"2",68,"GID Shortages","Baseline",1952,87336.8254198,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"3",68,"GID Shortages","Baseline",1953,104211.6724776,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"4",68,"GID Shortages","Baseline",1954,85553.5867163,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"5",68,"GID Shortages","Baseline",1955,21077.8596572,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"6",68,"GID Shortages","Baseline",1956,103718.0066293,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"7",68,"GID Shortages","Baseline",1957,38314.8685023,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"8",68,"GID Shortages","Baseline",1958,44322.62062,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"9",68,"GID Shortages","Baseline",1959,100386.3720703,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"10",68,"GID Shortages","Baseline",1960,127029.7890434,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"11",68,"GID Shortages","Baseline",1961,100798.8941609,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"12",68,"GID Shortages","Baseline",1962,106688.074442,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"13",68,"GID Shortages","Baseline",1963,100870.4775932,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"14",68,"GID Shortages","Baseline",1964,44835.2087721,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"15",68,"GID Shortages","Baseline",1965,71143.4589846,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"16",68,"GID Shortages","Baseline",1966,78560.1690168,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"17",68,"GID Shortages","Baseline",1967,78880.9159505,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"18",68,"GID Shortages","Baseline",1968,76637.3733641,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"19",68,"GID Shortages","Baseline",1969,90552.0302898,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"20",68,"GID Shortages","Baseline",1970,116626.6872404,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"21",68,"GID Shortages","Baseline",1971,118943.4793739,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"22",68,"GID Shortages","Baseline",1972,94478.229816,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"23",68,"GID Shortages","Baseline",1973,122615.9534177,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"24",68,"GID Shortages","Baseline",1974,116890.0920564,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"25",68,"GID Shortages","Baseline",1975,31929.6223742,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"26",68,"GID Shortages","Baseline",1976,127283.4153523,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"27",68,"GID Shortages","Baseline",1977,98789.8770673,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"28",68,"GID Shortages","Baseline",1978,43412.8624351,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"29",68,"GID Shortages","Baseline",1979,92026.6410613,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"30",68,"GID Shortages","Baseline",1980,83809.4620412,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"31",68,"GID Shortages","Baseline",1981,69002.6204748,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"32",68,"GID Shortages","Baseline",1982,64373.0229825,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"33",68,"GID Shortages","Baseline",1983,92583.3415862,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
